"x"
"Abies bifolia"
"Paludella squarrosa"
"Palustriella falcata"
"Papaver lapponicum"
"Papaver macounii"
"Papaver macounii subsp. discolor"
"Papaver mcconnellii"
"Papaver radicatum"
"Papaver radicatum subsp. polare"
"Papaver radicatum subsp. radicatum"
"Paraleucobryum enerve"
"Paraleucobryum longifolium"
"Parnassia fimbriata"
"Parnassia kotzebuei"
"Parnassia palustris"
"Parrya arctica"
"Parrya nudicaulis"
"Pedicularis capitata"
"Pedicularis flammea"
"Pedicularis hirsuta"
"Pedicularis labradorica"
"Pedicularis lanata"
"Pedicularis lanata subsp. lanata"
"Pedicularis langsdorffii"
"Pedicularis langsdorffii subsp. arctica"
"Pedicularis lapponica"
"Pedicularis oederi"
"Pedicularis parviflora"
"Pedicularis sudetica"
"Pedicularis sudetica subsp. albolabiata"
"Pedicularis sudetica subsp. arctoeuropaea"
"Pedicularis sudetica subsp. interior"
"Pedicularis verticillata"
"Penstemon gormanii"
"Persicaria amphibia"
"Persicaria lapathifolia"
"Petasites frigidus"
"Petasites frigidus var. frigidus"
"Petasites frigidus var. palmatus"
"Petasites frigidus var. sagittatus"
"Petasites frigidus var. ×vitifolius"
"Phalaris"
"Phalaris arundinacea"
"Phalaris canariensis"
"Phedimus aizoon"
"Phegopteris connectilis"
"Philonotis fontana var. fontana"
"Philonotis fontana var. pumila"
"Phippsia"
"Phippsia algida"
"Phleum"
"Phleum alpinum"
"Phleum phleoides"
"Phleum pratense"
"Phragmites"
"Phragmites australis"
"Phyllodoce caerulea"
"Phyllodoce empetriformis"
"Phyllodoce glanduliflora"
"Physaria arctica"
"Physaria calderi"
"Picea glauca"
"Picea mariana"
"Pinus banksiana"
"Pinus contorta"
"Pinus contorta var. latifolia"
"Plagiobryum demissum"
"Plagiobryum zieri"
"Plagiomnium ciliare"
"Plagiomnium drummondii"
"Plagiomnium ellipticum"
"Plagiomnium medium"
"Plagiomnium rostratum"
"Plagiopus oederianus"
"Plagiothecium berggrenianum"
"Plagiothecium cavifolium"
"Plagiothecium denticulatum"
"Plagiothecium laetum"
"Plagiothecium piliferum"
"Plantago canescens"
"Plantago eriopoda"
"Plantago major"
"Plantago maritima"
"Platanthera aquilonis"
"Platanthera obtusata"
"Platanthera orbiculata"
"Platydictya jungermannioides"
"Platygyrium repens"
"Pleurozium schreberi"
"Poa"
"Poa abbreviata"
"Poa abbreviata subsp. abbreviata"
"Poa abbreviata subsp. marshii"
"Poa abbreviata subsp. pattersonii"
"Poa alpina"
"Poa alpina subsp. alpina"
"Poa alpina subsp. vivipara"
"Poa ammophila"
"Poa annua"
"Poa arctica"
"Poa arctica subsp. aperta"
"Poa arctica subsp. arctica"
"Poa arctica subsp. caespitans"
"Poa arctica subsp. grayana"
"Poa arctica subsp. lanata"
"Poa compressa"
"Poa diaboli"
"Poa glauca"
"Poa glauca subsp. glauca"
"Poa glauca subsp. rupicola"
"Poa glauca var. pekulnejensis"
"Poa hartzii"
"Poa hartzii subsp. alaskana"
"Poa hartzii subsp. hartzii"
"Poa hartzii subsp. vrangelica"
"Poa interior"
"Poa laxa"
"Poa laxa subsp. banffiana"
"Poa laxa subsp. fernaldiana"
"Poa nemoralis"
"Poa palustris"
"Poa paucispicula"
"Poa porsildii"
"Poa pratensis"
"Poa pratensis subsp. agassizensis"
"Poa pratensis subsp. alpigena"
"Poa pratensis subsp. angustifolia"
"Poa pratensis subsp. colpodea"
"Poa pratensis subsp. irrigata"
"Poa pratensis subsp. pratensis"
"Poa pseudoabbreviata"
"Poa sect. Abbreviatae"
"Poa sect. Alpinae"
"Poa sect. Arctopoa"
"Poa sect. Arenariae"
"Poa sect. Dioicopoa"
"Poa sect. Homalopoa"
"Poa sect. Madropoa"
"Poa sect. Micrantherae"
"Poa sect. Oreinos"
"Poa sect. Pandemos"
"Poa sect. Poa"
"Poa sect. Secundae"
"Poa sect. Stenopoa"
"Poa sect. Sylvestres"
"Poa sect. Tichopoa"
"Poa secunda"
"Poa secunda subsp. juncifolia"
"Poa secunda subsp. secunda"
"Poa subg. Arctopoa"
"Poa subg. Poa"
"Poa sublanata"
"Poa subsect. Epiles"
"Poa subsect. Halophytae"
"Poa subsect. Madropoa"
"Poa subsect. Poa"
"Poa subsect. Secundae"
"Poa supina"
"Poa ×gaspensis"
"Pogonatum dentatum"
"Pogonatum urnigerum"
"Pohlia andalusica"
"Pohlia andrewsii"
"Pohlia bulbifera"
"Pohlia cruda"
"Pohlia crudoides"
"Pohlia drummondii"
"Pohlia elongata"
"Pohlia erecta"
"Pohlia filum"
"Pohlia longicolla"
"Pohlia ludwigii"
"Pohlia nutans"
"Pohlia proligera"
"Pohlia vexans"
"Pohlia wahlenbergii"
"Polygonum achoreum"
"Polygonum aviculare"
"Polygonum aviculare subsp. aviculare"
"Polygonum aviculare subsp. buxiforme"
"Polygonum aviculare subsp. depressum"
"Polygonum fowleri"
"Polygonum fowleri subsp. fowleri"
"Polygonum fowleri subsp. hudsonianum"
"Polygonum humifusum"
"Polygonum humifusum subsp. caurianum"
"Polygonum ramosissimum"
"Polygonum ramosissimum subsp. ramosissimum"
"Polypodium sibiricum"
"Polypodium virginianum"
"Polytrichastrum alpinum var. alpinum"
"Polytrichastrum alpinum var. fragile"
"Polytrichastrum alpinum var. septentrionale"
"Polytrichastrum formosum var. densifolium"
"Polytrichastrum longisetum"
"Polytrichastrum sexangulare var. sexangulare"
"Polytrichum commune var. commune"
"Polytrichum hyperboreum"
"Polytrichum jensenii"
"Polytrichum juniperinum"
"Polytrichum piliferum"
"Polytrichum strictum"
"Polytrichum swartzii"
"Populus balsamifera"
"Populus tremuloides"
"Potamogeton alpinus"
"Potamogeton foliosus"
"Potamogeton foliosus subsp. foliosus"
"Potamogeton friesii"
"Potamogeton gramineus"
"Potamogeton illinoensis"
"Potamogeton natans"
"Potamogeton obtusifolius"
"Potamogeton praelongus"
"Potamogeton pusillus"
"Potamogeton pusillus subsp. pusillus"
"Potamogeton pusillus subsp. tenuissimus"
"Potamogeton richardsonii"
"Potamogeton robbinsii"
"Potamogeton subsibiricus"
"Potamogeton zosteriformis"
"Potentilla anserina"
"Potentilla anserina subsp. anserina"
"Potentilla anserina subsp. groenlandica"
"Potentilla anserina subsp. yukonensis"
"Potentilla arenosa"
"Potentilla arenosa subsp. arenosa"
"Potentilla arenosa subsp. chamissonis"
"Potentilla biflora"
"Potentilla bimundorum"
"Potentilla bipinnatifida"
"Potentilla elegans"
"Potentilla glaucophylla"
"Potentilla glaucophylla var. glaucophylla"
"Potentilla gracilis"
"Potentilla gracilis var. fastigiata"
"Potentilla hippiana"
"Potentilla hyparctica"
"Potentilla hyparctica subsp. elatior"
"Potentilla hyparctica subsp. hyparctica"
"Potentilla litoralis"
"Potentilla nivea"
"Potentilla norvegica"
"Potentilla pedersenii"
"Potentilla pensylvanica"
"Potentilla plattensis"
"Potentilla pulchella"
"Potentilla rubricaulis"
"Potentilla subgorodkovii"
"Potentilla subvahliana"
"Potentilla supina"
"Potentilla supina subsp. paradoxa"
"Potentilla tikhomirovii"
"Potentilla uschakovii"
"Potentilla vulcanicola"
"Primula borealis"
"Primula egaliksensis"
"Primula incana"
"Primula mistassinica"
"Primula pumila"
"Primula stricta"
"Prunus pensylvanica"
"Prunus virginiana"
"Prunus virginiana var. virginiana"
"Pseudobryum cinclidioides"
"Pseudocalliergon angustifolium"
"Pseudocalliergon brevifolium"
"Pseudocalliergon trifarium"
"Pseudocalliergon turgescens"
"Pseudocampylium radicale"
"Pseudoditrichaceae"
"Pseudoditrichum"
"Pseudoditrichum mirabile"
"Pseudoleskea incurvata var. incurvata"
"Pseudoleskea patens"
"Pseudoleskeella tectorum"
"Pterigynandrum filiforme"
"Pterygoneurum ovatum"
"Ptilium crista-castrensis"
"Ptychostomum acutiforme"
"Ptychostomum archangelicum"
"Ptychostomum bimum"
"Ptychostomum calophyllum"
"Ptychostomum cernuum"
"Ptychostomum creberrimum"
"Ptychostomum cryophilum"
"Ptychostomum cyclophyllum"
"Ptychostomum inclinatum"
"Ptychostomum knowltonii"
"Ptychostomum longisetum"
"Ptychostomum neodamense"
"Ptychostomum nitidulum"
"Ptychostomum pallens"
"Ptychostomum pallescens"
"Ptychostomum pendulum"
"Ptychostomum pseudotriquetrum"
"Ptychostomum rutilans"
"Ptychostomum salinum"
"Ptychostomum schleicheri"
"Ptychostomum subneodamense"
"Ptychostomum turbinatum"
"Ptychostomum weigelii"
"Ptychostomum wrightii"
"Puccinellia"
"Puccinellia andersonii"
"Puccinellia angustata"
"Puccinellia arctica"
"Puccinellia nutkaensis"
"Puccinellia nuttalliana"
"Puccinellia phryganodes"
"Puccinellia tenella"
"Puccinellia vaginata"
"Puccinellia vahliana"
"Pylaisia intricata"
"Pylaisia polyantha"
"Pylaisia selwynii"
"Pyrola asarifolia"
"Pyrola asarifolia subsp. asarifolia"
"Pyrola chlorantha"
"Pyrola grandiflora"
"Pyrola minor"
"Pyrrocoma uniflora"
"Pyrrocoma uniflora var. uniflora"
"Racomitrium lanuginosum"
"Ranunculus abortivus"
"Ranunculus acris"
"Ranunculus allenii"
"Ranunculus aquatilis"
"Ranunculus aquatilis var. aquatilis"
"Ranunculus aquatilis var. diffusus"
"Ranunculus eschscholtzii"
"Ranunculus eschscholtzii var. eschscholtzii"
"Ranunculus flammula"
"Ranunculus flammula var. ovalis"
"Ranunculus flammula var. reptans"
"Ranunculus gelidus"
"Ranunculus gmelinii"
"Ranunculus hyperboreus"
"Ranunculus lapponicus"
"Ranunculus macounii"
"Ranunculus nivalis"
"Ranunculus pallasii"
"Ranunculus pedatifidus"
"Ranunculus pedatifidus var. affinis"
"Ranunculus pensylvanicus"
"Ranunculus pygmaeus"
"Ranunculus rhomboideus"
"Ranunculus sabinei"
"Ranunculus sceleratus"
"Ranunculus sceleratus var. multifidus"
"Ranunculus sulphureus"
"Ranunculus turneri"
"Rhabdoweisia crispata"
"Rhinanthus minor"
"Rhinanthus minor subsp. groenlandicus"
"Rhinanthus minor subsp. minor"
"Rhizomnium andrewsianum"
"Rhizomnium gracile"
"Rhizomnium pseudopunctatum"
"Rhododendron groenlandicum"
"Rhododendron lapponicum"
"Rhododendron tomentosum"
"Rhynchospora alba"
"Rhytidiadelphus subpinnatus"
"Rhytidiadelphus triquetrus"
"Rhytidium rugosum"
"Ribes glandulosum"
"Ribes hudsonianum"
"Ribes lacustre"
"Ribes oxyacanthoides"
"Ribes oxyacanthoides var. oxyacanthoides"
"Ribes triste"
"Rorippa calycina"
"Rorippa crystallina"
"Rorippa palustris"
"Rorippa palustris subsp. hispida"
"Rorippa palustris subsp. palustris"
"Rosa acicularis"
"Rosa acicularis subsp. sayi"
"Rosa blanda"
"Rosa woodsii"
"Rosa woodsii subsp. woodsii"
"Rosulabryum elegans"
"Rubus arcticus"
"Rubus arcticus subsp. acaulis"
"Rubus arcticus subsp. arcticus"
"Rubus arcticus subsp. stellatus"
"Rubus chamaemorus"
"Rubus idaeus"
"Rubus idaeus subsp. strigosus"
"Rubus pubescens"
"Rumex arcticus"
"Rumex britannica"
"Rumex crispus"
"Rumex fueginus"
"Rumex lapponicus"
"Rumex occidentalis"
"Rumex sibiricus"
"Rumex triangulivalvis"
"Ruppia cirrhosa"
"Sagina nivalis"
"Sagina nodosa"
"Sagina nodosa subsp. borealis"
"Sagina procumbens"
"Sagina saginoides"
"Sagittaria cuneata"
"Salix alaxensis"
"Salix alaxensis var. alaxensis"
"Salix alaxensis var. longistylis"
"Salix arbusculoides"
"Salix arctica"
"Salix arctophila"
"Salix athabascensis"
"Salix barclayi"
"Salix barrattiana"
"Salix bebbiana"
"Salix brachycarpa"
"Salix brachycarpa var. brachycarpa"
"Salix candida"
"Salix chamissonis"
"Salix commutata"
"Salix discolor"
"Salix drummondiana"
"Salix famelica"
"Salix farriae"
"Salix fuscescens"
"Salix glauca"
"Salix glauca var. acutifolia"
"Salix glauca var. cordifolia"
"Salix glauca var. stipulata"
"Salix glauca var. villosa"
"Salix hastata"
"Salix herbacea"
"Salix interior"
"Salix lasiandra"
"Salix lasiandra var. caudata"
"Salix lasiandra var. lasiandra"
"Salix maccalliana"
"Salix myrtillifolia"
"Salix niphoclada"
"Salix ovalifolia"
"Salix ovalifolia var. arctolitoralis"
"Salix ovalifolia var. ovalifolia"
"Salix petiolaris"
"Salix phlebophylla"
"Salix planifolia"
"Salix polaris"
"Salix prolixa"
"Salix pseudomonticola"
"Salix pseudomyrsinites"
"Salix pulchra"
"Salix pyrifolia"
"Salix raupii"
"Salix reticulata"
"Salix richardsonii"
"Salix rotundifolia"
"Salix rotundifolia var. dodgeana"
"Salix rotundifolia var. rotundifolia"
"Salix scouleriana"
"Salix serissima"
"Salix sphenophylla"
"Salix tyrrellii"
"Sanguisorba officinalis"
"Sanionia uncinata"
"Sarmentypnum exannulatum"
"Sarmentypnum sarmentosum"
"Sarmentypnum tundrae"
"Sarracenia purpurea"
"Sarracenia purpurea subsp. purpurea"
"Saussurea angustifolia var. angustifolia"
"Saussurea angustifolia var. yukonensis"
"Saxifraga adscendens"
"Saxifraga aizoides"
"Saxifraga bronchialis"
"Saxifraga bronchialis subsp. funstonii"
"Saxifraga cernua"
"Saxifraga cespitosa"
"Saxifraga eschscholtzii"
"Saxifraga flagellaris"
"Saxifraga flagellaris subsp. platysepala"
"Saxifraga flagellaris subsp. setigera"
"Saxifraga hirculus"
"Saxifraga hyperborea"
"Saxifraga oppositifolia"
"Saxifraga oppositifolia subsp. oppositifolia"
"Saxifraga paniculata"
"Saxifraga radiata"
"Saxifraga serpyllifolia"
"Saxifraga tricuspidata"
"Scheuchzeria palustris"
"Schistidium boreale"
"Schistidium cryptocarpum"
"Schistidium dupretii"
"Schistidium frigidum"
"Schistidium frisvollianum"
"Schistidium grandirete"
"Schistidium holmenianum"
"Schistidium papillosum"
"Schistidium pulchrum"
"Schistidium rivulare"
"Schistidium robustum"
"Schistidium tenerum"
"Schistidium trichodon"
"Schistidium venetum"
"Schizachne"
"Schizachne purpurascens"
"Schoenoplectus acutus"
"Schoenoplectus acutus var. acutus"
"Schoenoplectus tabernaemontani"
"Scirpus microcarpus"
"Sciuro-hypnum latifolium"
"Sciuro-hypnum plumosum"
"Scolochloa"
"Scolochloa festucacea"
"Scorpidium cossonii"
"Scorpidium revolvens"
"Scorpidium scorpioides"
"Scouleria aquatica"
"Secale"
"Secale cereale"
"Secale strictum"
"Selaginella selaginoides"
"Selaginella sibirica"
"Seligeria calcarea"
"Seligeria donniana"
"Seligeria oelandica"
"Seligeria polaris"
"Seligeria subimmersa"
"Seligeria tristichoides"
"Senecio eremophilus"
"Senecio eremophilus var. eremophilus"
"Senecio lugens"
"Senecio sheldonensis"
"Senecio triangularis"
"Senecio vulgaris"
"Setaria"
"Setaria adhaerans"
"Setaria chapmanii"
"Setaria subg. Paurochaetium"
"Setaria subg. Ptychophyllum"
"Setaria subg. Reverchoniae"
"Setaria subg. Setaria"
"Setaria verticillata"
"Setaria viridis"
"Setaria viridis var. viridis"
"Sibbaldia procumbens"
"Sibbaldiopsis tridentata"
"Silene acaulis"
"Silene involucrata subsp. involucrata"
"Silene involucrata subsp. tenella"
"Silene menziesii"
"Silene ostenfeldii"
"Silene repens"
"Silene sorensenis"
"Silene uralensis subsp. ogilviensis"
"Silene uralensis subsp. uralensis"
"Sinapis arvensis"
"Sisymbrium altissimum"
"Sisymbrium officinale"
"Sisyrinchium montanum var. montanum"
"Sisyrinchium septentrionale"
"Smelowskia borealis"
"Smelowskia media"
"Solidago lepida"
"Solidago lepida var. lepida"
"Solidago multiradiata"
"Solidago simplex"
"Solidago simplex var. simplex"
"Sonchus arvensis"
"Sonchus arvensis subsp. arvensis"
"Sonchus oleraceus"
"Sorbus scopulina"
"Sparganium angustifolium"
"Sparganium emersum"
"Sparganium eurycarpum"
"Sparganium hyperboreum"
"Sparganium natans"
"Spartina"
"Spartina gracilis"
"Spartina pectinata"
"Spergula arvensis"
"Spergularia salina"
"Sphagnum angustifolium"
"Sphagnum annulatum"
"Sphagnum aongstroemii"
"Sphagnum balticum"
"Sphagnum capillifolium"
"Sphagnum centrale"
"Sphagnum compactum"
"Sphagnum fimbriatum subsp. concinnum"
"Sphagnum fuscum"
"Sphagnum girgensohnii"
"Sphagnum jensenii"
"Sphagnum lenense"
"Sphagnum lindbergii"
"Sphagnum magellanicum"
"Sphagnum majus subsp. norvegicum"
"Sphagnum obtusum"
"Sphagnum orientale"
"Sphagnum perfoliatum"
"Sphagnum riparium"
"Sphagnum rubellum"
"Sphagnum russowii"
"Sphagnum squarrosum"
"Sphagnum steerei"
"Sphagnum subsecundum"
"Sphagnum teres"
"Sphagnum warnstorfii"
"Sphenopholis"
"Sphenopholis intermedia"
"Spiraea stevenii"
"Spiranthes romanzoffiana"
"Splachnum ampullaceum"
"Splachnum luteum"
"Splachnum rubrum"
"Splachnum sphaericum"
"Splachnum vasculosum"
"Stegonia latifolia var. latifolia"
"Stegonia latifolia var. pilifera"
"Stellaria borealis"
"Stellaria borealis subsp. borealis"
"Stellaria calycantha"
"Stellaria crassifolia"
"Stellaria humifusa"
"Stellaria longifolia"
"Stellaria longipes"
"Stellaria longipes subsp. longipes"
"Stellaria media"
"Stellaria umbellata"
"Straminergon stramineum"
"Streptopus amplexifolius"
"Stuckenia filiformis"
"Stuckenia filiformis subsp. alpina"
"Stuckenia filiformis subsp. filiformis"
"Stuckenia filiformis subsp. occidentalis"
"Stuckenia pectinata"
"Stuckenia vaginata"
"Suaeda calceoliformis"
"Subularia aquatica"
"Subularia aquatica subsp. americana"
"Symphyotrichum boreale"
"Symphyotrichum ciliatum"
"Symphyotrichum ciliolatum"
"Symphyotrichum ericoides"
"Symphyotrichum ericoides var. pansum"
"Symphyotrichum falcatum"
"Symphyotrichum falcatum var. falcatum"
"Symphyotrichum lanceolatum"
"Symphyotrichum lanceolatum var. hesperium"
"Symphyotrichum nahanniense"
"Symphyotrichum pygmaeum"
"Symphyotrichum spathulatum"
"Symphyotrichum spathulatum var. spathulatum"
"Symphyotrichum yukonense"
"Synthyris borealis"
"Tanacetum vulgare"
"Taraxacum ceratophorum"
"Taraxacum erythrospermum"
"Taraxacum holmenianum"
"Taraxacum hyparcticum"
"Taraxacum officinale"
"Taraxacum phymatocarpum"
"Taraxacum scopulorum"
"Tayloria acuminata"
"Tayloria lingulata"
"Tephroseris frigida"
"Tephroseris kjellmanii"
"Tephroseris lindstroemii"
"Tephroseris palustris"
"Tetraphis pellucida var. pellucida"
"Tetraphis pellucida var. trachypoda"
"Tetraplodon angustatus"
"Tetraplodon mnioides"
"Tetraplodon pallidus"
"Tetraplodon paradoxus"
"Tetraplodon urceolatus"
"Thalictrum alpinum"
"Thalictrum sparsiflorum"
"Thalictrum venulosum"
"Thlaspi arvense"
"Timmia austriaca"
"Timmia megapolitana subsp. bavarica"
"Timmia megapolitana subsp. megapolitana"
"Timmia norvegica var. excurrens"
"Timmia norvegica var. norvegica"
"Timmia sibirica"
"Tofieldia coccinea"
"Tofieldia pusilla"
"Tomentypnum falcifolium"
"Tomentypnum nitens"
"Tortella alpicola"
"Tortella fragilis"
"Tortella inclinata var. densa"
"Tortella inclinata var. inclinata"
"Tortella tortuosa var. arctica"
"Tortella tortuosa var. tortuosa"
"Tortula cernua"
"Tortula hoppeana"
"Tortula laureri"
"Tortula leucostoma"
"Tortula mucronifolia"
"Tortula systylia"
"Tragopogon dubius"
"Transberingia bursifolia"
"Transberingia bursifolia subsp. bursifolia"
"Triantha glutinosa"
"Trichodon cylindricus var. oblongus"
"Trichophorum alpinum"
"Trichophorum cespitosum"
"Trichophorum pumilum"
"Trichostomum arcticum"
"Trichostomum crispulum"
"Trichostomum tenuirostre var. tenuirostre"
"Trientalis europaea"
"Triglochin maritima"
"Triglochin palustris"
"Tripleurospermum inodorum"
"Tripleurospermum maritimum"
"Tripleurospermum maritimum subsp. phaeocephalum"
"Trisetum"
"Trisetum cernuum"
"Trisetum spicatum"
"Triticum"
"Triticum aestivum"
"Triticum boeoticum"
"Triticum carthlicum"
"Triticum dicoccoides"
"Triticum dicoccum"
"Triticum monococcum"
"Triticum polonicum"
"Triticum timopheevii"
"Triticum urartu"
"Turritis glabra"
"Typha latifolia"
"Ulota curvifolia"
"Urtica dioica"
"Urtica dioica subsp. gracilis"
"Vaccinium cespitosum"
"Vaccinium myrtilloides"
"Vaccinium oxycoccos"
"Vaccinium uliginosum"
"Vaccinium vitis-idaea"
"Vahlodea"
"Vahlodea atropurpurea"
"Veratrum viride var. eschscholzianum"
"Veronica americana"
"Veronica longifolia"
"Veronica peregrina"
"Veronica persica"
"Veronica scutellata"
"Veronica wormskjoldii"
"Veronica wormskjoldii subsp. nutans"
"Viola adunca"
"Viola adunca var. adunca"
"Viola canadensis"
"Viola canadensis var. canadensis"
"Viola canadensis var. rugulosa"
"Viola epipsila"
"Viola epipsila var. repens"
"Viola labradorica"
"Viola macloskeyi"
"Viola nephrophylla"
"Viola palustris"
"Viola renifolia"
"Voitia hyperborea"
"Voitia nivalis"
"Vulpia"
"Vulpia bromoides"
"Vulpia sciurea"
"Warnstorfia fluitans"
"Weissia controversa"
"Wilhelmsia physodes"
"Woodsia alpina"
"Woodsia glabella"
"Woodsia ilvensis"
"Zannichellia palustris"
"Zigadenus elegans"
"×achnella"
"×achnella caduca"
